,year,month,day,hour,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature,total precipitation,u-component of wind,v-component of wind,pressure,relative humidity
32,2023,6,29,8.5,0.7933533402912352,-0.6087614290087207,1.6034257,0.0,0.8017129,458.2886644601822,27.162393188476585,0.0,0.7346019744873047,1.1287727355957031,1004.3101196289062,75.0694637298584
33,2023,6,29,9.0,0.7071067811865476,-0.7071067811865475,1.5573967,0.0,0.7786983,541.8197326660156,28.136529541015648,0.0,0.8373031616210938,1.460615158081055,1004.0943603515624,68.90287399291992
34,2023,6,29,9.5,0.6087614290087209,-0.793353340291235,1.5415416,0.08609557,0.8138186,601.8023910522461,28.992242431640648,0.0,0.7919902801513672,1.546839714050293,1003.793212890625,63.93593978881836
35,2023,6,29,10.0,0.49999999999999994,-0.8660254037844387,1.5253268,0.27520776,0.9002673,661.7850494384766,29.847955322265648,0.0,0.7466773986816406,1.6330642700195312,1003.4920654296876,58.9690055847168
36,2023,6,29,10.5,0.3826834323650899,-0.9238795325112867,1.4643877,0.46408725,0.96423745,720.4834890365601,30.605996704101585,0.0,0.7097430229187012,2.0679426193237305,1003.12255859375,56.36455535888672
37,2023,6,29,11.0,0.258819045102521,-0.9659258262890682,1.3750951,0.67976,1.0274276,779.1819286346436,31.364038085937523,0.0,0.6728086471557617,2.5028209686279297,1002.7530517578124,53.76010513305664
38,2023,6,29,11.5,0.130526192220052,-0.9914448613738104,1.3361627,0.84286904,1.0895159,815.8183727264404,31.736535644531276,0.0,0.7407350540161133,2.70355224609375,1002.4725036621094,53.282352447509766
39,2023,6,29,12.0,1.2246467991473532e-16,-1.0,1.2979145,1.0081697,1.1530421,852.4548168182373,32.10903320312502,0.0,0.8086614608764648,2.9042835235595703,1002.1919555664062,52.80459976196289
40,2023,6,29,12.5,-0.13052619222005177,-0.9914448613738104,1.2389649,1.0158389,1.1274018,849.997236251831,32.27266845703127,0.0,0.7873482704162598,3.0875535011291504,1001.917999267578,52.74584102630615
41,2023,6,29,13.0,-0.2588190451025208,-0.9659258262890683,1.2023256,1.0240366,1.1131811,847.5396556854248,32.43630371093752,0.0,0.7660350799560547,3.2708234786987305,1001.64404296875,52.68708229064941
42,2023,6,29,13.5,-0.38268343236508967,-0.9238795325112868,1.1838936,1.0083959,1.0961447,830.4839220046997,32.48076782226565,0.0,0.8189644813537598,3.307372570037842,1001.5936584472656,53.03346157073975
43,2023,6,29,14.0,-0.4999999999999997,-0.8660254037844388,1.1648506,0.9970629,1.0809567,813.4281883239746,32.52523193359377,0.0,0.8718938827514648,3.343921661376953,1001.5432739257812,53.37984085083008
44,2023,6,29,14.5,-0.6087614290087207,-0.7933533402912352,1.1372662,0.86155534,0.99941075,758.70032787323,32.487832641601585,0.0,0.8760066032409668,3.3339009284973145,1001.3902893066406,53.85449981689453
45,2023,6,29,15.0,-0.7071067811865471,-0.7071067811865479,1.1105871,0.7269547,0.9187709,703.9724674224854,32.4504333496094,0.0,0.8801193237304688,3.323880195617676,1001.2373046875,54.32915878295898
46,2023,6,29,15.5,-0.7933533402912349,-0.6087614290087209,1.0593823,0.48504496,0.77221364,614.3855848312378,32.0971618652344,0.0,0.877871036529541,3.222022533416748,1001.2731018066406,56.70894908905029
47,2023,6,29,16.0,-0.8660254037844385,-0.5000000000000004,0.9640467,0.27725697,0.62065184,524.7987022399902,31.7438903808594,0.0,0.8756227493286133,3.1201648712158203,1001.3088989257812,59.0887393951416
0,2023,6,28,16.5,-0.9238795325112868,-0.3826834323650895,0.1343658,0.5496826,0.3420242,103.28265488147736,29.714013671875023,0.0,0.7635259628295898,2.98970890045166,1005.2183532714844,69.28138637542725
1,2023,6,28,17.0,-0.9659258262890683,-0.25881904510252063,0.05019474,0.51057625,0.2803855,65.97739338874817,28.961785888671898,0.0,0.9689016342163086,2.960698127746582,1005.1890258789062,72.53435897827148
2,2023,6,28,17.5,-0.9914448613738104,-0.13052619222005163,0.057316065,0.45515847,0.25623727,39.08244669437408,28.261102294921898,0.0,0.6179065704345703,3.059945106506348,1005.2507934570312,75.49728965759277
3,2023,6,28,18.0,-1.0,-1.8369701987210297e-16,0.058924913,0.42448664,0.24170578,12.1875,27.560418701171898,0.0,0.266911506652832,3.1591920852661133,1005.3125610351562,78.46022033691406
4,2023,6,28,18.5,-0.9914448613738105,0.13052619222005127,0.010731459,0.46846318,0.23959732,6.09375,27.108972167968773,0.0,0.0117340087890625,3.2884721755981445,1005.211669921875,80.1164608001709
5,2023,6,28,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.5201838,0.2600919,0.0,26.657525634765648,0.0,-0.243443489074707,3.417752265930176,1005.1107788085938,81.77270126342773
